File name,Title,Author,Publication Year,Journal,Rank
Hawksworth 1975 Persoonia 8 167-185.pdf,"Farrowia, a new genus in the chaetomiaceae",Hawksworth,1975,Persoonia,0
Hermans and Houbraken 2013 Mushroom Business 61 8-10.pdf,Smokey Mould: the smoke screen lifts,Hermans and Houbraken,2013,Mushroom Business 61 8-10,1
Hermans and Houbraken 2013 Paddestoelen 5 4-6.pdf,Smokey Mould: het rookgordijn trekt op,Mushroom Business 61 8-10,2013,Paddestoelen 5 4-6,0
Houbraken & Dyer 2014 Gen Trans Syst Fung vol 2 23-46.pdf,Induction of the Sexual Cycle in Filamentous Ascomycetes,Jos Houbraken and Paul S. Dyer,2014, Gen Trans Syst Fung vol 2 23-46,1
Houbraken & Samson 2006 Adv in Food Microbiol 571 107-111.pdf,STANDARDIZATION OF METHODS FOR DETECTING HEAT RESISTANT FUNGI,Jos Houbraken and Robert A. Samson,2006,Adv. Food Mycology,1
Houbraken & Samson 2017 COFS 17 84-88.pdf, Current taxonomy and identification of foodborne fungi,Jos Houbraken and Robert A. Samson,2017,"Current Opinion in Food Science 2017, 17:84–88",1
Houbraken 2022 Encyclopedia Dairy Sciences_book chapter.pdf,Aspergillus flavus,Jos Houbraken,2022,Encyclopedia Dairy Sciences_book chapter,1
Houbraken and Samson 2011 SIM70 1-51.pdf, Phylogeny of Penicillium and the segregation of Trichocomaceae into three families," J. Houbraken, and R.A. Samson",2011,Studies in Mycology 70: 1–51,1
Houbraken et al 2006 Adv Food Mycology 211-224.pdf, BYSSOCHLAMYS: SIGNIFICANCE OF HEAT RESISTANCE AND MYCOTOXIN  PRODUCTION,"  Jos Houbraken, Robert A. Samson and Jens C. Frisvad",2006,Adv. Food Mycology,1
Houbraken et al 2008 AEM Byssochlamys 74 1613-1619.pdf, Sexual Reproduction as the Cause of Heat Resistance in the Food Spoilage Fungus Byssochlamys spectabilis (Anamorph Paecilomyces variotii)," Jos Houbraken, János Varga, Emilia Rico-Munoz, Shawn Johnson, and Robert A. Samson",2008,"Applied and Environmental Microbiology, Mar. 2008, p. 1613–1619",1
Houbraken et al 2010 Fung diversity Epub.pdf, Taxonomy of Penicillium citrinum and related species," Jos A. M. P. Houbraken, Jens C. Frisvad, Robert A. Samson",2010,Fungal Diversity (2010) 44:117–133,1
Houbraken et al 2010 IMA Fungus 1 171-180.pdf, Sex in Penicillium series Roqueforti," Jos Houbraken, Jens C. Frisvad and Robert A. Samson",2010,IMA Fungus,1
Houbraken et al 2010 J Clin Microbiol EPUB.pdf,Identification of Paecilomyces variotii in clinical samples and settings,"Jos Houbraken, Paul E. Verweij, Anthonius J.M.M. Rijs, Andrew M. Borman, and Robert A. Samson",2010,Journal of Clinical Microbiology,1
Houbraken et al 2010 JCM 48 2754-2761.pdf, Identification of Paecilomyces variotii in Clinical Samples and Settings,"Jos Houbraken, Paul E. Verweij, Anthonius J. M. M. Rijs, Andrew M. Borman, and Robert A. Samson",2010,"Journal of Clinical Microbiology, Aug. 2010, p. 2754–2761",1
Houbraken et al 2011 IMAFungus 2 87-95.pdf, Fleming's penicillin producing strain is not Penicillium chrysogenum but P. rubens," Jos Houbraken, Jens C. Frisvad, and Robert A. Samson",2011,IMA Fungus,1
Houbraken et al 2011 Int J Syst Evol Microbiol 61 1462-1475.pdf," Penicillium araracuarense sp. nov., Penicillium elleniae sp. nov., Penicillium penarojense sp. nov., Penicillium vanderhammenii sp. nov. and Penicillium wotroi sp. nov., isolated from leaf litter"," Jos Houbraken,  Carlos A López-Quintero, Jens C. Frisvad, Teun Boekhout, Bart Theelen, Ana Esperanza Franco-Molano, and Robert A. Samson",2011,"International Journal of Systematic and Evolutionary Microbiology (2011), 61, 1462–1475 DOI 10.1099",1
Houbraken et al 2012 Ant Leeuwenhoek 101 403-421.pdf," Rasamsonia, a new genus comprising thermotolerant and thermophilic Talaromyces and Geosmithia species"," J. Houbraken,H. Spierenburg,J. C. Frisvad",2012,Ant Leeuwenhoek,1
Houbraken et al 2012 Heat resistant fungi.pdf,Diversity and biology of heat resistant fungi ,Houbraken et al,2012,,0
Houbraken et al 2012 Heat resistant fungi1.pdf,DIVERSITY AND BIOLOGY OF HEAT-RESISTANT FUNGI,"Jos Houbraken·, Jan Dijksterhuis, and Robert A. Samson",2012,Stress Response of Foodborne Microorganisms,1
Houbraken et al 2012 Persoonia 29 78-100.pdf,New penicillin-producing Penicillium species and an overview of section Chrysogena ,"J. Houbraken, J.C. Frisvad, K.A. Seifert, D.P. Overy, D.M. Tuthill, J.G. Valdez, R.A. Samson",2012,Persoonia,1
Houbraken et al 2013 JCM 51 22-30.pdf, Taxonomy and Antifungal Susceptibility of Clinically Important Rasamsonia Species,"J. Houbraken, S. Giraud, M. Meijer, S. Bertout, J. C. Frisvad, J. F. Meis, J. P. Bouchara and R. A. Samson",2013,"J. Clin. Microbiol. 2013, 51(1):22",1
Houbraken et al 2014 Adv Appl Microbiol 86 199-249.pdf, Modern Taxonomy of Biotechnologically Important Aspergillus and Penicillium Species," Jos Houbraken, Ronald P. de Vries, Robert A. Samson",2014,"Advances in Applied Microbiology, Volume 86",1
Houbraken et al 2016 Book Chapter Taxonomy of Asp.pdf,"Taxonomy of Aspergillus, Penicillium and Talaromyces and its Significance for Biotechnology","Jos Houbraken, Robert A. Samson and Neriman Yilmaz",2016,Book Chapter Taxonomy of Asp,1
Houbraken et al 2016 FEMS Microbiol Lett 363 fnv236.pdf," Aspergillus oerlinghausenensis, a new mould species closely related to A. fumigatus"," Jos Houbraken, Michael Weig, Uwe Groß, Martin Meijer and Oliver Bader",2016,"FEMS Microbiology Letters, 363",1
Houbraken et al 2016 Persoonia 36 299-314.pdf,"New sections in Penicillium containing novel species producing patulin, pyripyropens or other bioactive compounds","J. Houbraken, L. Wang, H.B. Lee, J.C. Frisvad",2016,Persoonia,1
Houbraken et al 2018 Mycological Progress Epub.pdf," Penicillium hermansii, a new species causing smoky mould in white button mushroom production",J. Houbraken & K. A. Seifert & R. A. Samson,2018,Mycological Progress,1
Houbraken et al 2020 Stud Mycol 95 5-169.pdf," Classification of Aspergillus, Penicillium, Talaromyces and related genera (Eurotiales): An overview of families, genera, subgenera, sections, series and species"," J. Houbraken, S. Kocsube, C.M. Visagie, N. Yilmaz, X.-C. Wang, M. Meijer, B. Kraak, V. Hubka, K. Bensch, R.A. Samson, and J.C. Frisvad",2020,Studies in Mycology 95: 5–169 ,1
Houbraken et al 2021 Microbiol Res Ann 10 01074-20.pdf, Recommendations To Prevent Taxonomic Misidentification of Genome-Sequenced Fungal Strains,"Jos Houbraken, Cobus M. Visagie, Jens C. Frisvad",2021,Microbiology Resource Announcements,1
Houbraken thesis_2013 8  jan press quality.pdf,"Revealing relationships in Trichocomaceae, with emphasis on Penicillium",Jos Houbraken,2013,PhD thesis,1
Hubka and Kolarik 2012 Persoonia 29 1-10.pdf,β-tubulin paralogue tubC is frequently misidentified as the benA gene in Aspergillus section Nigri taxonomy: ,"V. Hubka, M. Kolarik",2012,Persoonia,0
Hubka et al 2018 Persoonia 41 142-174.pdf,Unravelling species boundaries in the Aspergillus viridinutans complex (section Fumigati): opportunistic human and animal pathogens capable of interspecific hybridization ,"V. Hubka, V. Barrs, Z. Dudová, F. Sklenář, A. Kubátová, T. Matsuzawa, T. Yaguchi, Y. Horie, A. Nováková, J.C. Frisvad, J.J. Talbot, M. Kolařík",2018,Persoonia,0
LAB MANUAL 1_10dec18.pdf,Westerdijk Laboratory Manual Series,"Pedro W. Crous, Gerard J.M. Verkley, Johannes Z. Groenewald, and Jos Houbraken",2018,Westerdijk Fungal Biodiversity Institute,0
Lombard et al 2016 Persoonia 36 156-246.pdf,Generic hyper-diversity in Stachybotriaceae ,"L. Lombard, J. Houbraken, C. Decock, R.A. Samson, M. Meijer, M. Réblová, J.Z. Groenewald, P.W. Crous,",2016,Persoonia,1
Lombard et al 2019 Persoonia 43 1-17.pdf,Epitypification of Fusarium oxysporum – clearing the taxonomic chaos,"L. Lombard, M. Sandoval-Denis, S.C Lamprecht",2019,Persoonia,0
Paz et al 2017 Persoonia 38 197-239.pdf,"The genus Elaphomyces (Ascomycota, Eurotiales): a ribosomal DNA-based phylogeny and revised systematics of European ‘deer truffles’","A. Paz, J.-M. Bellanger, C. Lavoise, A. Molia, M. Ławrynowicz, E. Larsson, I.O. Ibarguren, M. Jeppson, T. Læssøe, M. Sauve, F. Richard, P.-A. Moreau",2017,Persoonia,0
Pitt and Samson 2007 SIM 59 67-70.pdf, Nomenclatural considerations in naming species of Aspergillus and its teleomorphs, J.I. Pitt and R.A. Samson,2007,Studies in Mycology 59: 67–70,1
Rico et al Compendium chapter 22.pdf,Detection and Enumeration of Heat-resistant Molds,"E. Rico-Munoz, J. Houbraken and R. A. Samson",2014,Compendium of Methods for the Microbiological Examination of Foods,1
Rico-Munoz et al 2019 Food Microbiol 81 51-62.pdf,Mould spoilage of foods and beverages: Using the right methodology,"Emilia Rico-Munoz, Robert A. Samson, Jos Houbraken",2019,Food Microbiology 81 (2019) 51e62,1
Samson 1991 Mycopathologia 116 149-150.pdf, Problems caused by new approaches in fungal taxonomy, Robert A. Samson,1991,Mycopathologia 116: 149-150. 1991,0
Samson 1999 Contrib Microbiol Basel 2 5-20.pdf,The Genus Aspergillus with Special Regard to the Aspergillus fumigatus Group, Robert A. Samson,1999,"Brakhage AA, Jahn B, Schmidt A (eds): Aspergillus fumigatus.",0
Samson and Klopotek 1972 Archiv fur Microbiologie 85 175-180.pdf,"Scopulariopsis murina, a New Fungus from Self-Heated Compost",R. A. Samson and Agnes von KLOPOTEK,1972,"Arch. Mikrobiol. 85, 175--180 (1972)",1
Samson and Luiten 1975 Trans Br Mycol Soc 64 338-340.pdf,"ELEUTHERASCUS TUBERCULATUS, A NEW HEAT-RESISTANT ASCOMYCETE",R. A. SAMSON AND M. R. TANSEY,1975,Transactions British Mycological Society,0
Samson and Mahood 1970 Acta Bot Neerl 19 804-809.pdf,"The genus Acrophialophora (Fungi, Moniliales)",R.A. Samson and Tariq Mahmood,1970,"Acta Bot. Neerl. 19(6), December 1970",0
Samson and Mouchacca 1974 Ant Leeuwenhoek 40 121-131.pdf,Some interesting species of Emericella and Aspergillus from Egyptian desert soil,Samson and Mouchacca,1974,Ant Leeuwenhoek,0
Samson and Mouchacca 1975 Ant Leeuwenhoek 41 343-351.pdf,"Additional notes on species of Aspergillus, Eurotium and Emericella from Egypttian desert soil",Samson and Mouchacca,1975,Ant Leeuwenhoek,0
Samson and Mouchacca 1975 Can J Bot 53 1634-1639.pdf,Two new soil-borne cleistothecial ascomycetes,R.A. Samson and J. MOUCHACCA,1975,Can. J. Bot. 53: 1634-1639.,0
Samson and Seifert 1985 Adv Pen Asp Syst 397-426.pdf,THE ASCOMYCETE GENUS PENICILLIOPSIS AND ITS ANAMORPHS,Robert A. SAMSON and Keith A. SEIFERT,1985,Adv Pen Asp Syst 397-426,0
Samson and Tansey 1975 Trans Br Mycol Soc 65 512.pdf,BYSSOCHLAMYS VERRUCOSA SP.NGV.,R. A. SAMSON,1975,Transactions British Mycological Society,0
Samson et al 1977 Ant Leeuwenh 43 169-175.pdf,A taxonomic study of the Penicillium chrysogenum series,"R. A. SAMSON, R. HADLOK, AND AMELIA C. STOLK",1977,Antonie van Leeuwenhoek 43 (1977) 169-175,0
Samson et al 1977 Ant Leeuwenh 43 341-350.pdf,The taxonomy of Penicillium species from fermented cheeses,"R. A. SAMSON, CHRISTIANE ECKARDT, AND R. ORTH",1977,Antonie van Leeuwenhoek 43 (1977) 341-350,0
Samson et al 2004 SIM 49 175-200.pdf, Phylogenetic analysis of Penicillium subgenus Penicillium using partial β-tubulin sequences," Robert A. Samson ,Keith A. Seifert, Angelina F.A. Kuijpers, Jos A.M.P. Houbraken, and Jens C. Frisvad",2004,Studies in Mycology 49:175-200,1
Samson et al 2006 Med Mcyol EPUB.pdf, Old and new concepts of species differentiation in Aspergillus," ROBERT A. SAMSON, SEUNG-BEOM HONG and JENS C. FRISVAD",2006,"Medical Mycology 2006, 1 16",0
Samson et al 2007 SIM 59 129-145.pdf, Diagnostic tools to identify black aspergilli," R.A. Samson, P. Noonim,, M. Meijer, J. Houbraken, J.C. Frisvad and J. Varga,",2007,Studies in Mycology 59: 129–145,1
Samson et al 2007 Stud Mycol 59 147-203.pdf, Polyphasic taxonomy of Aspergillus section Fumigati and its teleomorph Neosartorya," R.A. Samson, S. Hong, S.W. Peterson, J.C. Frisvad and J.Varga,",2007,Studies in Mycology 59: 147–203,1
Samson et al 2009 Persoonia 22 14-27.pdf, Polyphasic taxonomy of the heat resistant ascomycete genus Byssochlamys and its Paecilomyces anamorphs," R.A. Samson, J. Houbraken, J. Varga, J.C. Frisvad",2009,Persoonia,1
Samson et al 2011 Stud. Mycol 69 39-55.pdf, New species in Aspergillus section Terrei," R.A. Samson, S.W. Peterson, J.C. Frisvad and J. Varga,",2011,Studies in Mycology 69: 39–55,1
Samson et al 2011 Stud. Mycol 70 159-183.pdf, Phylogeny and nomenclature of the genus Talaromyces and taxa accommodated in Penicillium subgenus Biverticillium," R.A. Samson,N. Yilmaz, J. Houbraken, H. Spierenburg, K.A. Seifert, S.W. Peterson, J. Varga and J.C. Frisvad",2011,Studies in Mycology 70: 159–183,1
Samson et al 2014 Stud. Mycol 78 141-173.pdf," Phylogeny, identification and nomenclature of the genus Aspergillus"," R.A. Samson, C.M. Visagie, J. Houbraken, S.-B. Hong, V. Hubka, C.H.W. Klaassen, G. Perrone, K.A. Seifert, A. Susca, J.B. Tanney, J. Varga, S. Kocsube, G. Szigeti, T. Yaguchi, and J.C. Frisvad",2014,Studies in Mycology 78: 141–173,1
Samson et al SIM50 45_61.pdf, New ochratoxin A or sclerotium producing species in Aspergillus section Nigri," Robert A. Samson, Jos A.M.P. Houbraken, Angelina F.A. Kuijpers, J. Mick Frank and Jens C. Frisvad",2004,Studies in Mycology 50:45–61,1
Samson et al Stud. Mycol 69 2011.pdf, New taxa in Aspergillus section Usti," R.A. Samson, J. Varga, M. Meijer and J.C. Frisvad",2011,Studies in Mycology 69: 81–97,1
Samson et al Taxon 66 1439-1446.pdf, Response to Pitt & Taylor 2016: Conservation of Aspergillus with A. niger as the conserved type is unnecessary and potentially disruptive," Robert A. Samson, Vit Hubka, Janos Varga, Jos Houbraken, Seung-Beom Hong, Corné H.W. Klaassen, Giancarlo Perrone, Keith A. Seifert, Donato Magistà, Cobus M. Visagie, Sandor Kocsubé, Geongi Szigeti, Takashi Yaguchi, Stephen W. Peterson & Jens C. Frisvad",2017,TAXON 66 (6) 2017: 1439–1446,0
Sandoval Denis & Crous 2018 Persoonia.pdf,Removing chaos from confusion: assigning names to common human and animal pathogens in Neocosmospora,"M. Sandoval-Denis, P.W. Crous",2018,"Persoonia 41, 2018: 109–129",0
Sandoval-Denis et al 2016 Persoonia 36 1-36.pdf,"Redefining Microascus, Scopulariopsis and allied genera","M. Sandoval-Denis, J. Gené, D.A. Sutton, J.F. Cano-Lira, G.S. de Hoog, C.A. Decock, N.P. Wiederhold, J. Guarro",2016,Persoonia,0
Segers thesis Growth of indoor fungi under changing water conditions.pdf,Growth of indoor fungi under changing water conditions,Frank Jacobus Johannes Segers,2017,PhD thesis,0
sim101Art1.pdf," Updating species diversity of Colletotrichum, with a phylogenomic overview"," F. Liu, Z.Y. Ma, L.W. Hou, Y.Z. Diao, W.P. Wu, U. Damm, S. Song, L. Cai",2022,Studies in Mycology 101: 1–56 ,1
sim101Art2.pdf, Generic boundaries in the Ophiostomatales reconsidered and revised," Z.W. de Beer, M. Procter, M.J. Wingfield, S. Marincowitz, T.A. Duong",2022,Studies in Mycology 101: 57–120 ,1
sim101Art3.pdf," Taxonomy, phylogeny and identification of Chaetomiaceae with emphasis on thermophilic species"," X.W. Wang, P.J. Han, F.Y. Bai, A. Luo, K. Bensch, M. Meijer, B. Kraak, D.Y. Han, B.D. Sun, P.W. Crous, J. Houbraken",2022,Studies in Mycology 101: 121–243 ,1
sim101Art4.pdf," Multi-locus phylogeny unmasks hidden species within the specialised spider-parasitic fungus, Gibellula (Hypocreales, Cordycipitaceae) in Thailand"," W. Kuephadungphan, B. Petcharad, K. Tasanathai, D. Thanakitpipattana, N. Kobmoo, A. Khonsanit, R.A. Samson, J.J. Luangsa-ard",2022,Studies in Mycology 101: 245–286 ,1
sim101Art5.pdf," Species diversity, systematic revision and molecular phylogeny of Ganodermataceae (Polyporales, Basidiomycota)with an emphasis on Chinese collections"," Y.-F. Sun, J.-H. Xing, X.-L. He, D.-M. Wu, C.-G. Song, S. Liu, J. Vlasák, G. Gates, T.B. Gibertoni, B.-K. Cui",2022,Studies in Mycology 101: 287–415 ,1
sim102Art1.pdf, A monograph of Aspergillus section Candidi," K. Glässnerová, F. Sklenář, Ž. Jurjevi?, J. Houbraken, T. Yaguchi, C.M. Visagie, J. Gené, J.P.Z. Siqueira, A. Kubátová, M. Kolařík, V. Hubka",2022,Studies in Mycology 102: 1–51 ,1
sim102Art2.pdf, Taxonomy of Aspergillus series Versicolores: species reduction and lessons learned about intraspecific variability," F. Sklenář, K. Glässnerová, Ž. Jurjevi?, J. Houbraken, R.A. Samson, C.M. Visagie, N. Yilmaz, J. Gené, J. Cano, A.J. Chen, A. Nováková, T. Yaguchi, M. Kolařík, V. Hubka,",2022,Studies in Mycology 102: 53–93 ,1
sim102Art3.pdf, Reducing the number of accepted species in Aspergillus series Nigri," C. Bian, Y. Kusuya, F. Sklenář, E. D’hooge, T. Yaguchi, S. Ban, C.M. Visagie, J. Houbraken, H. Takahashi, V. Hubka",2022,Studies in Mycology 102: 95–132 ,1
sim103Art1.pdf, Fungal communities in soils under global change," P. Baldrian, L. Bell-Dereske, C. Lepinay, T.  Větrovský, P. Kohout",2022,Studies in Mycology103: 1–24,1
sim103Art2.pdf," Mortierellaceae from subalpine and alpine habitats: new species of Entomortierella, Linnemannia, Mortierella, Podila and Tyroliellagen. nov."," A. Telagathoti, M. Probst, E. Mandolini, U. Peintner",2022,Studies in Mycology 103: 25–58 ,1
sim103Art3.pdf, A review of Hyphodiscaceae," L. Quijada, H.O. Baral, P.R. Johnston, K. Pärtel, J.K. Mitchell, T. Hosoya, H. Madrid, T. Kosonen, S. Helleman, E. Rubio, E. Stöckli, S. Huhtinen, D.H. Pfister L. Quijada, H.O. Baral, P.R. Johnston, K. Pärtel, J.K. Mitchell, T. Hosoya, H. Madrid, T. Kosonen, S. Helleman, E. Rubio, E. Stöckli, S. Huhtinen, D.H. Pfister",2022,Studies in Mycology103: 59–85,1
sim103Art4.pdf, Consolidation of Chloridium: new classification into eight sections with 37 species and reinstatement of the genera Gongromeriza and Psilobotrys," M. Réblová, M. Hernández-Restrepo, F. Sklenář, J. Nekvindová, K. Réblová, M. Kolařík",2022,Studies in Mycology 103: 87–212 ,1
sim104Art1.pdf, Lessons on fruiting body morphogenesis from genomes and transcriptomes of Agaricomycetes," L.G. Nagy, P.J. Vonk, M. Künzler, C. Földi, M. Virágh, R.A. Ohm, F. Hennicke, B. Bálint, Á. Csernetics, B. Hegedüs, Z. Hou, X.B. Liu, S. Nan, M. Pareek, N. Sahu, B. Szathmári, T. Varga, H. Wu, X. Yang, Z. Merényi",2023,Studies in Mycology 104: 1–85 ,1
sim104Art2.pdf," Fusarium diversity associated with diseased cereals in China, with an updated phylogenomic assessment of the genus"," S.L. Han, M.M. Wang, Z.Y. Ma, M. Raza, P. Zhao, J.M. Liang, M. Gao, Y.J. Li, J.W. Wang, D.M. Hu, L. Cai,",2023,Studies in Mycology 104: 87–148 ,1
sim105Art1.pdf, A genome-informed higher rank classification of the biotechnologically important fungal subphylum Saccharomycotina," M. Groenewald, C.T. Hittinger, K. Bensch, D.A. Opulente, X.-X. Shen, Y. Li, C. Liu, A.L. LaBella, X. Zhou, S. Limtong, S. Jindamorakot, P. Gonçalves, V. Robert, K.H. Wolfe, C.A. Rosa, T. Boekhout, N. ?adež, G. Péter, J.P. Sampaio, M.-A. Lachance, A.M. Yurkov, H.-M. Daniel, M. Takashima, K. Boundy-Mills, D. Libkind, K. Aoki, T. Sugita, A. Rokas",2023,Studies in Mycology 105: 1–22 ,1
sim105Art2.pdf, Redisposition of acremonium-like fungi in Hypocreales," L.W. Hou, A. Giraldo, J.Z. Groenewald, T. Rämä, R.C. Summerbell, G.Z. Huang, L. Cai, P.W. Crous",2023,Studies in Mycology 105: 23–203 ,1
sim105Art3.pdf, Revising Clonostachys and allied genera in Bionectriaceae," L. Zhao, J.Z. Groenewald, M. Hernández-Restrepo, H.-J. Schroers, P.W. Crous",2023,Studies in Mycology 105: 205–266 ,1
sim106Art1.pdf, In search of lost ergots: phylogenetic re-evaluation of Claviceps species in Japan and their biogeographic patterns revealed," E. Tanaka, K. Tanada, T. Hosoe, B. Shrestha,  M Kolařík, M. Liu E. Tanaka, K. Tanada, T. Hosoe, B. Shrestha, M. Kolařík, M. Liu",2023,Studies in Mycology 106: 1–39 ,1
sim106Art2.pdf, Diversity of colacosome-interacting mycoparasites expands the understanding of the evolution and ecology of Microbotryomycetes," N. Schoutteten, A. Yurkov, O. Leroux, D. Haelewaters,, D. Van Der Straeten, O. Miettinen, T. Boekhout, D. Begerow, A. Verbeken",2023,Studies in Mycology 106: 41–94 ,1
sim106Art3.pdf," The subfamily Xerocomoideae (Boletaceae, Boletales) in China"," R. Xue, X. Zhang, C. Xu, H.J. Xie L.L. Wu, Y. Wang, L.P. Tang, Y.J. Hao, K. Zhao, S. Jiang, Y. Li, Y.Y. Yang, Z. Li, Z.Q. Liang, N.K. Zeng",2023,Studies in Mycology 106: 95–197 ,1
sim106Art4.pdf, New genera and species with chloridium-like morphotype in the Chaetosphaeriales and Vermiculariopsiellales," M. Réblová, J. Nekvindová",2023,Studies in Mycology 106: 199–258 ,1
sim106Art5.pdf, Phytophthora: taxonomic and phylogenetic revision of the genus," Z.G. Abad, T.I. Burgess, T. Bourret, K. Bensch, S.O. Cacciola, B. Scanu, R. Mathew, B. Kasiborski, S. Srivastava, K. Kageyama, J.C. Bienapfl, G. Verkleij, K. Broders, L. Schena, A.J. Redford",2023,Studies in Mycology 106: 259–348 ,1
sim106Art6.pdf, Taxonomy and systematics of the fungus-growing ant associate Escovopsis (Hypocreaceae)," Q.V. Montoya, M.J.S. Martiarena, A. Rodrigues",2023,Studies in Mycology 106: 349–397 ,1
sim107Art1.pdf," A review of recently introduced Aspergillus, Penicillium, Talaromyces and other Eurotiales species"," C.M. Visagie, N. Yilmaz, S. Kocsubé, J.C. Frisvad, V. Hubka, R.A. Samson, J. Houbraken",2024,Studies in Mycology 107: 1–66 ,1
sim107Art2.pdf," Family matters inside the order Agaricales: systematic reorganization and classification of incertae sedis clitocyboid, pleurotoid and tricholomatoid taxa based on an updated 6-gene phylogeny"," A. Vizzini, P. Alvarado, G. Consiglio, M. Marchetti, J. Xu",2024,Studies in Mycology 107: 67–148 ,1
sim107Art3.pdf," The genus Fomitopsis (Polyporales, Basidiomycota) reconsidered"," V. Spirin, K. Runnel, J. Vlasák, I. Viner, M.D. Barrett, L. Ryvarden, A. Bernicchia, B. Rivoire, A.M. Ainsworth, T. Grebenc, M. Cartabia, T. Niemelä, K.-H. Larsson, O. Miettinen",2024,Studies in Mycology 107: 149–249 ,1
sim107Art4.pdf, Worldwide forest surveys reveal forty-three new species in Phytophthora major Clade 2 with fundamental implications for the evolution and biogeography of the genus and global plant biosecurity,"T Jung, I Milenković, Y Balci, J Janoušek, T Kudláček, Z Á Nagy, B Baharuddin, J Bakonyi, K D Broders, S O Cacciola, T-T Chang, N M Chi, T Corcobado, A Cravador, B Đorđević, A Durán, M Ferreira, C-H Fu, L Garcia, A Hieno, H-H Ho, C Hong, M Junaid, K Kageyama, T Kuswinanti, C Maia, T Májek, H Masuya, G Magnano di San Lio, B Mendieta-Araica, N Nasri, L S S Oliveira, A Pane, A Pérez-Sierra, A Rosmana, E Sanfuentes von Stowasser, B Scanu, R Singh, Z Stanivuković, M Tarigan, P Q Thu, Z Tomić, M Tomšovský, S Uematsu, J F Webber, H-C Zeng, F-C Zheng, C M Brasier, M Horta Jung",2024,Studies in Mycology 107: 251–388 ,1
SIM108_2024.pdf, What are the 100 most cited fungal genera? ,"Robert A. Samson, editor",2024,Studies in Mycology 108 (June 2024),1
sim109Art1.pdf, Phylogenetic diversity and morphological characterization of cordycipitaceous species in Taiwan," W.Y. Chuang, Y.C. Lin, B. Shrestha, J.J. Luangsa-ard, M. Stadler, S.S. Tzean, S. Wu, C.C. Ko , S.Y. Hsieh, M.L. Wu, S.C. Wang, T.L. Shen, H.A. Ariyawansa",2024,Studies in Mycology 109: 1–56 ,1
sim109Art2.pdf," Proposal of one new family, seven new genera and seventy new basidiomycetous yeast species mostly isolated from Tibet and Yunnan provinces, China"," Y.-L. Jiang, W.-J. Bao, F. Liu, G.-S. Wang, A.M. Yurkov, Q. Ma, Z.-D. Hu, X.-H. Chen, W.-N. Zhao, A.-H. Li, Q.-M. Wang",2024,Studies in Mycology 109: 57–153 ,1
sim109Art3.pdf, Sporocadaceae revisited," P. Razaghi, M. Raza, S.L. Han, Z.Y. Ma, L. Cai, P. Zhao, Q. Chen, D. Phurbu, F. Liu,",2024,Studies in Mycology 109: 155–272 ,1
sim109Art4.pdf, New Mucorales from opposite ends of the world," T.T.T. Nguyen, A.L.C.M. de A. Santiago, J.E. Hallsworth, T.R.L. Cordeiro, K. Voigt, P.M. Kirk, P.W. Crous, M.A.M. Júnior, C. Elsztein, H.B. Lee",2024,Studies in Mycology 109: 273–321 ,1
sim109Art5.pdf, Cytospora: an important genus of canker pathogens," L. Lin, X.L. Fan, J.Z. Groenewald, F. Jami, M.J. Wingfield,H. Voglmayr, W. Jaklitsch, L.A. Castlebury, C.M. Tian, P.W. Crous",2024,Studies in Mycology 109: 323–401 ,1
sim109Art6.pdf, Known from trees and the tropics: new insights into the Fusarium lateritium species complex," M.M. Costa, M. Sandoval-Denis, G.M. Moreira, H. Kandemir, A. Kermode, A.G. Buddie, M.J. Ryan, Y. Becker, A. Yurkov, W. Maier, J.Z. Groenewald, L.H. Pfenning, P.W. Crous,",2024,Studies in Mycology 109: 403–450 ,1
sim109Art7.pdf," Examination of mycoparasites reveals a new type of host-parasite interface and rearranges the taxonomy of Occultifur and Microsporomyces (Cystobasidiomycetes, Basidiomycota)"," N. Schoutteten, A. Yurkov, V. Spirin, A. Savchenko, M.C. Aime, D. Begerow, A. Verbeken",2024,Studies in Mycology 109: 451–486 ,1
sim109Art8.pdf," Diaporthe species on palms – integrative taxonomic approach for species boundaries delimitation in the genus Diaporthe, with the description of D. pygmaeae sp. nov."," D.S. Pereira, A.J.L. Phillips D.S. Pereira, A.J.L. Phillips",2024,Studies in Mycology 109: 487–594 ,1
sim109Art9.pdf," Phylogeny, evolution and a re-classification of the Lichinomycetes"," M. Prieto, M. Wedin, M. Schultz M. Prieto, M. Wedin, M. Schultz",2024,Studies in Mycology 109: 595–655 ,1
sim45_01_intro.pdf,"Molecules, morphology and classification: Towards monophyletic genera in the Ascomycetes","Keith A Seifert, W. Gams, Pedro W. Crous and Gary J. Samuels",2000,Studies in Mycology,1
sim45_02_005-018.pdf,How should we look at anamorphs?,Keith A Seifert and Gary J. Samuels,2000,Studies in Mycology,1
sim45_03_019-026.pdf,,,2000,Studies in Mycology,1
sim45_04_027-034.pdf,,,2000,Studies in Mycology,1
sim45_05_035-044.pdf,,,2000,Studies in Mycology,1
sim45_06_045-062.pdf,,,2000,Studies in Mycology,1
sim45_07_063-082.pdf,,,2000,Studies in Mycology,1
sim45_08_083-094.pdf,,,2000,Studies in Mycology,1
sim45_09_095-105.pdf,,,2000,Studies in Mycology,1
sim45_10_107-121.pdf,,,2000,Studies in Mycology,1
